epoch,cert_bound,rho_inf,obs_kappa,boundary_error,config
1500,0.7569633771997409,0.042862746864557266,0.08327993750572205,0.04271868243813515,PINN_lambda_10
1,2.1428643943512053,0.13068386912345886,0.1323934644460678,1.209697961807251,PINN_lambda_100
50,2.1629888338939143,0.13252407312393188,0.12873941659927368,1.1064567565917969,PINN_lambda_100
100,2.1905968999437424,0.1350802481174469,0.12364894151687622,0.9613152146339417,PINN_lambda_100
150,2.2164241047528757,0.1374930441379547,0.11889851093292236,0.8277092576026917,PINN_lambda_100
200,2.241363237351192,0.1398445963859558,0.1146540716290474,0.7024357914924622,PINN_lambda_100
250,2.2655555402649905,0.1421508491039276,0.11042279005050659,0.5849422812461853,PINN_lambda_100
300,2.2870857229103643,0.14423158764839172,0.10663536936044693,0.4811745285987854,PINN_lambda_100
350,2.305391435637146,0.14602774381637573,0.10351549834012985,0.39244645833969116,PINN_lambda_100
400,2.320623092564253,0.1475483477115631,0.10080357640981674,0.31798291206359863,PINN_lambda_100
450,2.333645443852706,0.14887326955795288,0.09855787456035614,0.2555218040943146,PINN_lambda_100
500,2.343981042595419,0.14995193481445312,0.0966692864894867,0.2049780786037445,PINN_lambda_100
550,2.3513935237483814,0.15075582265853882,0.09525196999311447,0.16473209857940674,PINN_lambda_100
600,2.3565817626689984,0.15134873986244202,0.09415213018655777,0.13225103914737701,PINN_lambda_100
650,2.3601943219780357,0.15178963541984558,0.09334273636341095,0.1063670888543129,PINN_lambda_100
700,2.3621696209822085,0.15206608176231384,0.09270913898944855,0.085918128490448,PINN_lambda_100
750,2.363017600231015,0.15223731100559235,0.09234361350536346,0.06972585618495941,PINN_lambda_100
800,2.3631756136695286,0.1523330956697464,0.09211727976799011,0.05656980723142624,PINN_lambda_100
850,2.3625356985503734,0.15233808755874634,0.09191886335611343,0.04622826725244522,PINN_lambda_100
900,2.361126417833414,0.15227782726287842,0.09197233617305756,0.03800734877586365,PINN_lambda_100
950,2.3593086081767485,0.15216408669948578,0.09204840660095215,0.031278856098651886,PINN_lambda_100
1000,2.357015972068032,0.1519981324672699,0.09213140606880188,0.02598670683801174,PINN_lambda_100
1050,2.3544392786336954,0.15179552137851715,0.09245648980140686,0.021632511168718338,PINN_lambda_100
1100,2.3516097112886363,0.15155920386314392,0.09268263727426529,0.018084410578012466,PINN_lambda_100
1150,2.3483294256778335,0.15129180252552032,0.09303253144025803,0.015212306752800941,PINN_lambda_100
1200,2.344904490949187,0.15099520981311798,0.09338833391666412,0.012886662036180496,PINN_lambda_100
1250,2.341480080311548,0.15067355334758759,0.09387330710887909,0.01098679006099701,PINN_lambda_100
1300,2.3371264563190666,0.15030021965503693,0.09449166059494019,0.009512016549706459,PINN_lambda_100
1350,2.332364565432383,0.14986176788806915,0.09512868523597717,0.008451543748378754,PINN_lambda_100
1400,2.327678405696164,0.14940351247787476,0.09577755630016327,0.007766395807266235,PINN_lambda_100
1450,2.322647132032047,0.14894938468933105,0.09654165804386139,0.007360121235251427,PINN_lambda_100
1500,2.3178679461421425,0.14850831031799316,0.09719586372375488,0.007142647169530392,PINN_lambda_100
1,2.1428643943512053,0.13068386912345886,0.1323934644460678,1.209697961807251,PINN_lambda_1000
50,2.1629906682124376,0.13252422213554382,0.1287393867969513,1.10648512840271,PINN_lambda_1000
100,2.1908322168057413,0.13510172069072723,0.12351608276367188,0.9611196517944336,PINN_lambda_1000
150,2.216925659846267,0.13753899931907654,0.1188722476363182,0.8285890221595764,PINN_lambda_1000
200,2.241906981770621,0.13989168405532837,0.11451011151075363,0.7074148058891296,PINN_lambda_1000
250,2.2660138578503313,0.1421816200017929,0.11028474569320679,0.5966618657112122,PINN_lambda_1000
300,2.2890570912319865,0.14439146220684052,0.10642862319946289,0.4966053366661072,PINN_lambda_1000
350,2.310838051424056,0.14650334417819977,0.10281818360090256,0.40767884254455566,PINN_lambda_1000
400,2.330682495346447,0.14845137298107147,0.09947127848863602,0.3314656913280487,PINN_lambda_1000
450,2.348237185660658,0.15019220113754272,0.09660676121711731,0.26820534467697144,PINN_lambda_1000
500,2.3632746668697906,0.15171408653259277,0.09410787373781204,0.21675598621368408,PINN_lambda_1000
550,2.3762380579199918,0.15304577350616455,0.09194088727235794,0.1745932549238205,PINN_lambda_1000
600,2.38690593036094,0.1541559249162674,0.09032108634710312,0.14124152064323425,PINN_lambda_1000
650,2.3956291631216056,0.15507915616035461,0.08879092335700989,0.1147606372833252,PINN_lambda_1000
700,2.4027478912653244,0.15584516525268555,0.08743564039468765,0.09362243115901947,PINN_lambda_1000
750,2.408502410518658,0.15647581219673157,0.08657588064670563,0.0766962394118309,PINN_lambda_1000
800,2.413087420690588,0.15698905289173126,0.08575961738824844,0.06310784816741943,PINN_lambda_1000
850,2.416682160905398,0.1574009656906128,0.08508970588445663,0.0521252378821373,PINN_lambda_1000
900,2.4194255152798587,0.15772488713264465,0.08444990962743759,0.043194226920604706,PINN_lambda_1000
950,2.4214398590640287,0.1579723060131073,0.08416736871004105,0.035942189395427704,PINN_lambda_1000
1000,2.422825293640184,0.15815326571464539,0.08379305899143219,0.030000723898410797,PINN_lambda_1000
1050,2.4236331799269797,0.1582726091146469,0.08355104178190231,0.025132324546575546,PINN_lambda_1000
1100,2.4239156649795794,0.15833553671836853,0.0834299772977829,0.02111906372010708,PINN_lambda_1000
1150,2.4236486406116766,0.15834005177021027,0.08333499729633331,0.017821235582232475,PINN_lambda_1000
1200,2.4228410163703846,0.1582871377468109,0.0833607017993927,0.015083993785083294,PINN_lambda_1000
1250,2.421511135440937,0.15817904472351074,0.08351530879735947,0.012812674045562744,PINN_lambda_1000
1300,2.419750975795006,0.15801745653152466,0.08379196375608444,0.010914967395365238,PINN_lambda_1000
1350,2.417474324461993,0.15781709551811218,0.08397896587848663,0.00931602530181408,PINN_lambda_1000
1400,2.415140547209252,0.15758726000785828,0.08438869565725327,0.007971851155161858,PINN_lambda_1000
1450,2.4126021124184036,0.15733467042446136,0.08458974212408066,0.006840216927230358,PINN_lambda_1000
1500,2.4097057234699926,0.15706591308116913,0.0849132239818573,0.005887879058718681,PINN_lambda_1000
