epoch,cert_bound,rho_inf,obs_kappa,optimizer,activation,loss
1200,0.18111301167854432,0.004162877798080444,0.15181083977222443,adamw,tanh,robust
1250,0.17446648953184324,0.0035112202167510986,0.153050035238266,adamw,tanh,robust
1300,0.1676865862239424,0.0029616355895996094,0.15451554954051971,adamw,tanh,robust
1350,0.16102853407509438,0.0025014877319335938,0.1559915840625763,adamw,tanh,robust
1400,0.15465978016193307,0.002116948366165161,0.155593603849411,adamw,tanh,robust
1450,0.14865238699787686,0.0017975866794586182,0.15834197402000427,adamw,tanh,robust
1500,0.14308470618842417,0.0015327930450439453,0.16082899272441864,adamw,tanh,robust
1,2.198194516244814,0.13648146390914917,0.1543431580066681,adamw,tanh,sobolev
50,2.1282300701489603,0.1341698169708252,0.1552247703075409,adamw,tanh,sobolev
100,1.9662793979476143,0.12763577699661255,0.1558665782213211,adamw,tanh,sobolev
150,1.7839054233070006,0.1206594705581665,0.15709489583969116,adamw,tanh,sobolev
200,1.6002611830889493,0.11400872468948364,0.15777486562728882,adamw,tanh,sobolev
250,1.4242971035055212,0.10649073123931885,0.1552031934261322,adamw,tanh,sobolev
300,1.2560215700128234,0.09775453805923462,0.1480545699596405,adamw,tanh,sobolev
350,1.105805295451017,0.08799487352371216,0.14309443533420563,adamw,tanh,sobolev
400,0.9866937566242239,0.07776927947998047,0.13865602016448975,adamw,tanh,sobolev
450,0.8677940815868808,0.0677991509437561,0.1361779421567917,adamw,tanh,sobolev
500,0.7529468747473059,0.05851948261260986,0.1357766091823578,adamw,tanh,sobolev
550,0.6440030290069616,0.050175249576568604,0.13795918226242065,adamw,tanh,sobolev
600,0.5425725519383652,0.042804062366485596,0.1420261710882187,adamw,tanh,sobolev
650,0.4518754586865514,0.03637033700942993,0.1473500281572342,adamw,tanh,sobolev
700,0.39284184769424657,0.030852675437927246,0.15357644855976105,adamw,tanh,sobolev
750,0.34239494375536794,0.02616572380065918,0.15428109467029572,adamw,tanh,sobolev
800,0.30053474686991544,0.022194504737854004,0.15520447492599487,adamw,tanh,sobolev
850,0.2640412418928543,0.01881873607635498,0.15531913936138153,adamw,tanh,sobolev
900,0.23506110558754098,0.015946149826049805,0.1553398072719574,adamw,tanh,sobolev
950,0.21144766119061906,0.013489842414855957,0.15680880844593048,adamw,tanh,sobolev
1000,0.1889075551753754,0.01149749755859375,0.15813952684402466,adamw,tanh,sobolev
1050,0.17280747945020136,0.010355710983276367,0.159169539809227,adamw,tanh,sobolev
1100,0.15885408048838387,0.009579181671142578,0.1609848588705063,adamw,tanh,sobolev
1150,0.15026737343495772,0.009030520915985107,0.15346287190914154,adamw,tanh,sobolev
1200,0.14168066638153157,0.008617430925369263,0.15120796859264374,adamw,tanh,sobolev
1250,0.1363139744731402,0.008320838212966919,0.14884811639785767,adamw,tanh,sobolev
1300,0.1298739441830706,0.00811094045639038,0.14638525247573853,adamw,tanh,sobolev
1350,0.1266539290380358,0.007986843585968018,0.13793103396892548,adamw,tanh,sobolev
1400,0.12450725227467925,0.007910609245300293,0.13711020350456238,adamw,tanh,sobolev
1450,0.1247755868700988,0.00787624716758728,0.13374999165534973,adamw,tanh,sobolev
1500,0.1271905982288749,0.00788065791130066,0.12930135428905487,adamw,tanh,sobolev
1,2.1981993640866255,0.13648027181625366,0.15434281527996063,adamw,tanh,sup
50,2.156359475727682,0.13381612300872803,0.153323233127594,adamw,tanh,sup
100,1.9697634239372637,0.12321305274963379,0.150135338306427,adamw,tanh,sup
150,1.762307108830759,0.11214165389537811,0.14564478397369385,adamw,tanh,sup
200,1.5584144815469188,0.10454702377319336,0.1379779428243637,adamw,tanh,sup
250,1.3645496805621198,0.09668966382741928,0.1241859570145607,adamw,tanh,sup
300,1.1809976803612439,0.08827399462461472,0.11443676054477692,adamw,tanh,sup
350,1.0240410713625407,0.07976118475198746,0.10972849279642105,adamw,tanh,sup
400,0.8913993370618234,0.07146361470222473,0.11080264300107956,adamw,tanh,sup
450,0.7791820844051388,0.06360854208469391,0.1112908124923706,adamw,tanh,sup
500,0.6840355240179975,0.05632159113883972,0.1114562377333641,adamw,tanh,sup
550,0.6028742666327053,0.049649402499198914,0.110840804874897,adamw,tanh,sup
600,0.533082213722361,0.04361501336097717,0.11011777818202972,adamw,tanh,sup
650,0.47323413254998925,0.038206279277801514,0.10860516130924225,adamw,tanh,sup
700,0.42138482658861387,0.03341926634311676,0.10699941962957382,adamw,tanh,sup
750,0.3762598047770555,0.029169917106628418,0.10518363118171692,adamw,tanh,sup
800,0.337439859821347,0.025424808263778687,0.10492412000894547,adamw,tanh,sup
850,0.30353323529756465,0.022133633494377136,0.11062764376401901,adamw,tanh,sup
900,0.2735840383430583,0.019242465496063232,0.12645570933818817,adamw,tanh,sup
950,0.24782706172881985,0.01670476794242859,0.14388726651668549,adamw,tanh,sup
1000,0.2255412381188792,0.014490962028503418,0.16059693694114685,adamw,tanh,sup
1050,0.2228413996758171,0.01256115734577179,0.16512715816497803,adamw,tanh,sup
1100,0.22923478586629228,0.01088714599609375,0.1604427695274353,adamw,tanh,sup
1150,0.23368772510453908,0.009441584348678589,0.15619537234306335,adamw,tanh,sup
1200,0.23671382657710272,0.008202500641345978,0.15415459871292114,adamw,tanh,sup
1250,0.23855653055658552,0.007143154740333557,0.1507137417793274,adamw,tanh,sup
1300,0.23958636938470945,0.006244875490665436,0.15114325284957886,adamw,tanh,sup
1350,0.24000590423555587,0.005486868321895599,0.14865541458129883,adamw,tanh,sup
1400,0.24002110287474956,0.00484958291053772,0.1486290544271469,adamw,tanh,sup
1450,0.23964087484940405,0.004314616322517395,0.14774982631206512,adamw,tanh,sup
1500,0.23904996223937366,0.003867626190185547,0.14810426533222198,adamw,tanh,sup
1,2.1981963505633373,0.1352793276309967,0.12369915843009949,adamw,silu,quadratic
50,2.1804165631617574,0.13363826274871826,0.12711068987846375,adamw,silu,quadratic
100,2.10475328248203,0.1291201114654541,0.13180020451545715,adamw,silu,quadratic
150,1.9940491460730028,0.12334887683391571,0.13569290935993195,adamw,silu,quadratic
200,1.8562905147399524,0.11655597388744354,0.1391172707080841,adamw,silu,quadratic
250,1.7022158821869762,0.10902182012796402,0.1412470042705536,adamw,silu,quadratic
300,1.54340634943416,0.10316216945648193,0.1416964828968048,adamw,silu,quadratic
350,1.3873887804966738,0.09759682416915894,0.1391313225030899,adamw,silu,quadratic
400,1.2394538740869403,0.09148991107940674,0.1365106701850891,adamw,silu,quadratic
450,1.1106341389638041,0.08509272336959839,0.13801252841949463,adamw,silu,quadratic
500,1.0280071955669587,0.07876348495483398,0.13534218072891235,adamw,silu,quadratic
550,0.9485995466900139,0.07254952192306519,0.13372093439102173,adamw,silu,quadratic
600,0.8729476649896813,0.0659264326095581,0.13208967447280884,adamw,silu,quadratic
650,0.8021246268021359,0.05891227722167969,0.13040629029273987,adamw,silu,quadratic
700,0.7334477412869405,0.051806509494781494,0.127934068441391,adamw,silu,quadratic
750,0.6658439321079198,0.04589545726776123,0.12596248090267181,adamw,silu,quadratic
800,0.5971670465927243,0.042665645480155945,0.12475202977657318,adamw,silu,quadratic
850,0.5252708993133162,0.03910771757364273,0.12471825629472733,adamw,silu,quadratic
900,0.46446402639991347,0.03516238182783127,0.12189523130655289,adamw,silu,quadratic
950,0.41692428803077025,0.03098343312740326,0.11814143508672714,adamw,silu,quadratic
1000,0.3747170773875205,0.026940077543258667,0.11465355008840561,adamw,silu,quadratic
1050,0.3402402746041595,0.023342452943325043,0.11015427857637405,adamw,silu,quadratic
1100,0.31384606883717553,0.020398758351802826,0.10607484728097916,adamw,silu,quadratic
1150,0.294754743691382,0.01814701408147812,0.1005154401063919,adamw,silu,quadratic
1200,0.2814486298785008,0.016516730189323425,0.0959191843867302,adamw,silu,quadratic
1250,0.27246890370359733,0.015356190502643585,0.09042675793170929,adamw,silu,quadratic
1300,0.26640695594131464,0.014515355229377747,0.08759240806102753,adamw,silu,quadratic
1350,0.26215605378614254,0.01389685645699501,0.08300460129976273,adamw,silu,quadratic
1400,0.25911250990976287,0.013425476849079132,0.08295339345932007,adamw,silu,quadratic
1450,0.2720912797554413,0.013033878058195114,0.07527140527963638,adamw,silu,quadratic
1500,0.28443467114474136,0.012721017003059387,0.07021988183259964,adamw,silu,quadratic
1,2.1981963505633373,0.1352793276309967,0.12369915843009949,adamw,silu,robust
50,2.1783692016441667,0.13337615132331848,0.12783154845237732,adamw,silu,robust
100,2.0935698355132617,0.1282036304473877,0.13363011181354523,adamw,silu,robust
150,1.970881179031758,0.12177512794733047,0.13834990561008453,adamw,silu,robust
200,1.8196965153123605,0.11434976011514664,0.14220277965068817,adamw,silu,robust
250,1.6525716236248262,0.10819625854492188,0.14469732344150543,adamw,silu,robust
300,1.482166446326489,0.10274499654769897,0.14507579803466797,adamw,silu,robust
350,1.3173620985937768,0.09646517038345337,0.14255394041538239,adamw,silu,robust
400,1.1636921953207084,0.08979654312133789,0.14158868789672852,adamw,silu,robust
450,1.068784096341606,0.08275246620178223,0.13878652453422546,adamw,silu,robust
500,0.9748899169262997,0.07503300905227661,0.1357392966747284,adamw,silu,robust
550,0.8847515046876056,0.06742334365844727,0.13392725586891174,adamw,silu,robust
600,0.7972957832893488,0.05999326705932617,0.13315755128860474,adamw,silu,robust
650,0.7135958290677042,0.052902162075042725,0.1325966864824295,adamw,silu,robust
700,0.6338063143810181,0.0462762713432312,0.1326424777507782,adamw,silu,robust
750,0.5606824511627767,0.040240585803985596,0.1346469670534134,adamw,silu,robust
800,0.49266231719032566,0.03482538461685181,0.1367684304714203,adamw,silu,robust
850,0.4308401817299223,0.030024588108062744,0.14124122262001038,adamw,silu,robust
900,0.376557914292792,0.025806427001953125,0.14496833086013794,adamw,silu,robust
950,0.34008219565427,0.02213233709335327,0.15209434926509857,adamw,silu,robust
1000,0.3089705812247939,0.01895749568939209,0.17034989595413208,adamw,silu,robust
1050,0.2810774096673325,0.016227662563323975,0.19066937267780304,adamw,silu,robust
1100,0.27584796409131523,0.013890683650970459,0.18924303352832794,adamw,silu,robust
1150,0.27477462570963695,0.011901795864105225,0.18824701011180878,adamw,silu,robust
1200,0.2726279489462804,0.010222554206848145,0.18712273240089417,adamw,silu,robust
1250,0.2661879186562108,0.008806228637695312,0.18647541105747223,adamw,silu,robust
1300,0.2597478883661412,0.007623136043548584,0.1857292652130127,adamw,silu,robust
1350,0.2554545348394281,0.006638050079345703,0.18426723778247833,adamw,silu,robust
1400,0.2490145045493585,0.005824625492095947,0.18403548002243042,adamw,silu,robust
1450,0.2415011358776106,0.005149960517883301,0.1837899535894394,adamw,silu,robust
1500,0.23506110558754098,0.004598855972290039,0.18213866651058197,adamw,silu,robust
1,2.1981963505633373,0.1352793276309967,0.12369915843009949,adamw,silu,sobolev
50,2.179102929053517,0.13372278213500977,0.12646570801734924,adamw,silu,sobolev
100,2.0998166072446183,0.12920787930488586,0.1304873377084732,adamw,silu,sobolev
150,1.988877022950841,0.12351414561271667,0.13367393612861633,adamw,silu,sobolev
200,1.8522766327425508,0.11683222651481628,0.13630789518356323,adamw,silu,sobolev
250,1.700756943847134,0.10944648832082748,0.13782639801502228,adamw,silu,sobolev
300,1.5453682841176624,0.10166134685277939,0.13761930167675018,adamw,silu,sobolev
350,1.3938447955624471,0.09559834003448486,0.13491658866405487,adamw,silu,sobolev
400,1.2516281151038346,0.08969157934188843,0.13287608325481415,adamw,silu,sobolev
450,1.123078024803635,0.08333784341812134,0.13386383652687073,adamw,silu,sobolev
500,1.0210321993818217,0.07494521141052246,0.13112224638462067,adamw,silu,sobolev
550,0.9180168711090284,0.0666796863079071,0.12367592006921768,adamw,silu,sobolev
600,0.8219765390213721,0.060891397297382355,0.11909889429807663,adamw,silu,sobolev
650,0.7382660374682182,0.05513802170753479,0.11602000147104263,adamw,silu,sobolev
700,0.6639464606182391,0.04957529902458191,0.1148294135928154,adamw,silu,sobolev
750,0.5965691242654796,0.04432745277881622,0.11460863798856735,adamw,silu,sobolev
800,0.5360335339594091,0.039461538195610046,0.12220088392496109,adamw,silu,sobolev
850,0.4817359696160214,0.035017117857933044,0.1539340764284134,adamw,silu,sobolev
900,0.43320687844902017,0.031009040772914886,0.1832491159439087,adamw,silu,sobolev
950,0.430408691052986,0.02742442488670349,0.1932457834482193,adamw,silu,sobolev
1000,0.4271886759079512,0.024255827069282532,0.1904761791229248,adamw,silu,sobolev
1050,0.4153819537094902,0.021470457315444946,0.18979987502098083,adamw,silu,sobolev
1100,0.3971352012209597,0.01903568208217621,0.18928086757659912,adamw,silu,sobolev
1150,0.3735217568240377,0.016919218003749847,0.18826936185359955,adamw,silu,sobolev
1200,0.3456149589004027,0.015091463923454285,0.18808777630329132,adamw,silu,sobolev
1250,0.31770816097676774,0.013517878949642181,0.1866438388824463,adamw,silu,sobolev
1300,0.2898013630531327,0.012167632579803467,0.1869688332080841,adamw,silu,sobolev
1350,0.2618945651294977,0.011013571172952652,0.18743455410003662,adamw,silu,sobolev
1400,0.23935445911425407,0.010030511766672134,0.18691587448120117,adamw,silu,sobolev
1450,0.21574101471733215,0.009185116738080978,0.18513689935207367,adamw,silu,sobolev
1500,0.19427424708376675,0.00846884399652481,0.18394160270690918,adamw,silu,sobolev
1,2.1981963505633373,0.1352793276309967,0.12369915843009949,adamw,silu,sup
50,2.185818500190348,0.13425381481647491,0.12559790909290314,adamw,silu,sup
100,2.117878748676046,0.1307632476091385,0.127519428730011,adamw,silu,sup
150,2.008887341676846,0.12574023008346558,0.12829981744289398,adamw,silu,sup
200,1.8696509047277128,0.11963283270597458,0.12803705036640167,adamw,silu,sup
250,1.7121265741460248,0.11266622692346573,0.12666137516498566,adamw,silu,sup
300,1.5484537388967323,0.10511176288127899,0.12347524613142014,adamw,silu,sup
350,1.3876571150920933,0.09723927825689316,0.11835730820894241,adamw,silu,sup
400,1.2360665428880233,0.08929998427629471,0.1186673492193222,adamw,silu,sup
450,1.0974551499757306,0.08150261640548706,0.12004683911800385,adamw,silu,sup
500,0.9738685945770342,0.07400605827569962,0.1218390166759491,adamw,silu,sup
550,0.8799226611748184,0.06692573428153992,0.1217910423874855,adamw,silu,sup
600,0.8037342413063984,0.060335755348205566,0.12091503292322159,adamw,silu,sup
650,0.7334477412869405,0.054291024804115295,0.12074525654315948,adamw,silu,sup
700,0.6670798042130444,0.04882741719484329,0.12024442851543427,adamw,silu,sup
750,0.6014593519374241,0.043920375406742096,0.12029746174812317,adamw,silu,sup
800,0.5349285863388905,0.03937384486198425,0.12060054391622543,adamw,silu,sup
850,0.47429977334500695,0.03525131940841675,0.138888880610466,adamw,silu,sup
900,0.4299872563722404,0.03152814507484436,0.18219706416130066,adamw,silu,sup
950,0.4593888273582993,0.02816110849380493,0.19345411658287048,adamw,silu,sup
1000,0.4894423020452908,0.025121107697486877,0.1910480260848999,adamw,silu,sup
1050,0.5066157161521432,0.022371560335159302,0.18971912562847137,adamw,silu,sup
1100,0.5066157161521432,0.019888117909431458,0.18888889253139496,adamw,silu,sup
1150,0.4969556707170387,0.017647117376327515,0.18783637881278992,adamw,silu,sup
1200,0.4840756101368995,0.01562882959842682,0.18687431514263153,adamw,silu,sup
1250,0.46368218088501234,0.013815253973007202,0.1869918704032898,adamw,silu,sup
1300,0.4411420748697687,0.012192532420158386,0.18570555746555328,adamw,silu,sup
1350,0.4175286304728468,0.010745614767074585,0.185161292552948,adamw,silu,sup
1400,0.39498852445760313,0.009460017085075378,0.18561643362045288,adamw,silu,sup
1450,0.3724484184423595,0.008322499692440033,0.18459300696849823,adamw,silu,sup
1500,0.3499083124271158,0.0073234885931015015,0.18455597758293152,adamw,silu,sup
1,2.1981963505633373,0.13531184196472168,0.1231033056974411,adamw,gelu,quadratic
50,2.1803809249733033,0.13366878032684326,0.1263919174671173,adamw,gelu,quadratic
100,2.1056589117415707,0.12914615869522095,0.13062413036823273,adamw,gelu,quadratic
150,1.9975390680864773,0.12336071580648422,0.13375213742256165,adamw,gelu,quadratic
200,1.8638112206857937,0.11656513810157776,0.13602860271930695,adamw,gelu,quadratic
250,1.7134930104231882,0.10905037075281143,0.13695454597473145,adamw,gelu,quadratic
300,1.5587163579667658,0.10199970006942749,0.1355997920036316,adamw,gelu,quadratic
350,1.4073270367092603,0.09637391567230225,0.13194891810417175,adamw,gelu,quadratic
400,1.2652779343500336,0.09017491340637207,0.12979018688201904,adamw,gelu,quadratic
450,1.1369626368208259,0.0829893946647644,0.1292337328195572,adamw,gelu,quadratic
500,1.023034947652469,0.07480919361114502,0.12750351428985596,adamw,gelu,quadratic
550,0.9246810158158291,0.06710714101791382,0.12625904381275177,adamw,gelu,quadratic
600,0.8431072988082806,0.05998682975769043,0.12375311553478241,adamw,gelu,quadratic
650,0.764753596945767,0.05348372459411621,0.12257510423660278,adamw,gelu,quadratic
700,0.693376594564162,0.047583937644958496,0.12241803854703903,adamw,gelu,quadratic
750,0.6273662840909484,0.04231142997741699,0.12230365723371506,adamw,gelu,quadratic
800,0.5683326730986437,0.037624478340148926,0.12164662033319473,adamw,gelu,quadratic
850,0.5162757615872475,0.03352820873260498,0.1207951158285141,adamw,gelu,quadratic
900,0.4705440061683947,0.029996037483215332,0.11744266748428345,adamw,gelu,quadratic
950,0.4308401817299223,0.026981890201568604,0.1172807365655899,adamw,gelu,quadratic
1000,0.3965985320301205,0.02444380521774292,0.12263108044862747,adamw,gelu,quadratic
1050,0.36869173410648554,0.022338032722473145,0.12410102039575577,adamw,gelu,quadratic
1100,0.34553061300401533,0.02060830593109131,0.12127424031496048,adamw,gelu,quadratic
1150,0.32575819883935475,0.019239842891693115,0.114601731300354,adamw,gelu,quadratic
1200,0.31019479230501984,0.01813530921936035,0.10521222651004791,adamw,gelu,quadratic
1250,0.2973147317248806,0.01727473735809326,0.09464839100837708,adamw,gelu,quadratic
1300,0.2876546862897762,0.016626179218292236,0.08237987011671066,adamw,gelu,quadratic
1350,0.2792681492452134,0.01612234115600586,0.06967984884977341,adamw,gelu,quadratic
1400,0.2726279489462804,0.015732228755950928,0.06703642010688782,adamw,gelu,quadratic
1450,0.26752959163330864,0.015427887439727783,0.06784660369157791,adamw,gelu,quadratic
1500,0.2637729072974347,0.015189707279205322,0.06789815425872803,adamw,gelu,quadratic
1,2.1981963505633373,0.13531184196472168,0.1231033056974411,adamw,gelu,robust
50,2.1783319911826924,0.13341309130191803,0.12711219489574432,adamw,gelu,robust
100,2.0942535122314743,0.12821273505687714,0.13246102631092072,adamw,gelu,robust
150,1.9734614100803896,0.12173585593700409,0.13644449412822723,adamw,gelu,robust
200,1.8249079452600232,0.11425332725048065,0.13950051367282867,adamw,gelu,robust
250,1.6603859515571595,0.1074913740158081,0.14102022349834442,adamw,gelu,robust
300,1.489561501453479,0.10186010599136353,0.1401374638080597,adamw,gelu,robust
350,1.3124822872305901,0.09388047456741333,0.13411837816238403,adamw,gelu,robust
400,1.149237372288251,0.08528941869735718,0.13378046452999115,adamw,gelu,robust
450,1.016739894037122,0.07646572589874268,0.1332128494977951,adamw,gelu,robust
500,0.9142611039324161,0.0677841305732727,0.1301911175251007,adamw,gelu,robust
550,0.8155380810043226,0.05954247713088989,0.12882447242736816,adamw,gelu,robust
600,0.7234300692511535,0.05192643404006958,0.12749727070331573,adamw,gelu,robust
650,0.6380996679077311,0.04503399133682251,0.12770339846611023,adamw,gelu,robust
700,0.5602826352360566,0.03888726234436035,0.1281088888645172,adamw,gelu,robust
750,0.48997897123612993,0.03347378969192505,0.12996777892112732,adamw,gelu,robust
800,0.42654787638522257,0.028743982315063477,0.13267509639263153,adamw,gelu,robust
850,0.3703017416790029,0.024970948696136475,0.1359349638223648,adamw,gelu,robust
900,0.3209281761218025,0.021769076585769653,0.14074073731899261,adamw,gelu,robust
950,0.27846376781702514,0.018964990973472595,0.1440158486366272,adamw,gelu,robust
1000,0.251038609528528,0.016514413058757782,0.14665274322032928,adamw,gelu,robust
1050,0.22850949304658066,0.014373503625392914,0.1498778611421585,adamw,gelu,robust
1100,0.20812602152382043,0.0125044584274292,0.1662418246269226,adamw,gelu,robust
1150,0.190960992873075,0.010872960090637207,0.18573780357837677,adamw,gelu,robust
1200,0.17594159280367272,0.009450383484363556,0.19124796986579895,adamw,gelu,robust
1250,0.17173414106852308,0.008209854364395142,0.18874171376228333,adamw,gelu,robust
1300,0.16744078754181002,0.0071290284395217896,0.18771329522132874,adamw,gelu,robust
1350,0.16314743401509693,0.006188333034515381,0.18661972880363464,adamw,gelu,robust
1400,0.1577807421067056,0.005370542407035828,0.18545454740524292,adamw,gelu,robust
1450,0.15456072696167078,0.0046605318784713745,0.18421052396297455,adamw,gelu,robust
1500,0.14919403505327944,0.004045635461807251,0.18287937343120575,adamw,gelu,robust
1,2.1981963505633373,0.13531184196472168,0.1231033056974411,adamw,gelu,sobolev
50,2.179127430308079,0.1337522566318512,0.12574300169944763,adamw,gelu,sobolev
100,2.101027388492798,0.1292552649974823,0.12904098629951477,adamw,gelu,sobolev
150,1.9927003978673148,0.12355372309684753,0.13144676387310028,adamw,gelu,sobolev
200,1.8606750601018276,0.11687959730625153,0.13301920890808105,adamw,gelu,sobolev
250,1.717341410685231,0.10958819836378098,0.13253019750118256,adamw,gelu,sobolev
300,1.5787383377176691,0.10218633711338043,0.12757651507854462,adamw,gelu,sobolev
350,1.4444364796419207,0.09456600248813629,0.11878073960542679,adamw,gelu,sobolev
400,1.3142934147269205,0.08680863678455353,0.11538347601890564,adamw,gelu,sobolev
450,1.190304357435095,0.07912170141935349,0.11354091763496399,adamw,gelu,sobolev
500,1.0738278171671316,0.07167381793260574,0.11219947040081024,adamw,gelu,sobolev
550,0.9657189794231783,0.06458602100610733,0.11147356778383255,adamw,gelu,sobolev
600,0.8663634441613992,0.05794505029916763,0.11095378547906876,adamw,gelu,sobolev
650,0.7760463168894276,0.051807619631290436,0.11037319898605347,adamw,gelu,sobolev
700,0.6942309939278002,0.046186476945877075,0.1101706251502037,adamw,gelu,sobolev
750,0.6209510826123202,0.04109618812799454,0.11094311624765396,adamw,gelu,sobolev
800,0.5555525173666526,0.03651566803455353,0.10987904667854309,adamw,gelu,sobolev
850,0.49743161086247895,0.0324249342083931,0.11058387160301208,adamw,gelu,sobolev
900,0.4461859594737338,0.028793856501579285,0.11038083583116531,adamw,gelu,sobolev
950,0.40104416674996174,0.02558225393295288,0.10909330099821091,adamw,gelu,sobolev
1000,0.36150320359181476,0.022762484848499298,0.10870552808046341,adamw,gelu,sobolev
1050,0.3268335680736839,0.020291108638048172,0.10902105271816254,adamw,gelu,sobolev
1100,0.29668313655045675,0.018130309879779816,0.10865181684494019,adamw,gelu,sobolev
1150,0.2703141035296373,0.016247015446424484,0.10859869420528412,adamw,gelu,sobolev
1200,0.24737429623258123,0.014612220227718353,0.10593763738870621,adamw,gelu,sobolev
1250,0.22751996009243913,0.013195350766181946,0.10597490519285202,adamw,gelu,sobolev
1300,0.2103151005251861,0.011970281600952148,0.10468866676092148,adamw,gelu,sobolev
1350,0.19543273387618637,0.010912735015153885,0.10594045370817184,adamw,gelu,sobolev
1400,0.18266325649845638,0.01000170037150383,0.1048058494925499,adamw,gelu,sobolev
1450,0.1713400737650325,0.00928431749343872,0.10250311344861984,adamw,gelu,sobolev
